name,hypothesis,status,elapsed,psnr,mse,occ,sigma_max,biomass_m3
A1_pretrain_on,H1: Pretrained DINO improves reconstruction,ok,7.3,5.956,0.25395,0.7397,0.133,0.004348
A1_pretrain_off,H1: Pretrained DINO improves reconstruction,ok,4.4,7.183,0.19157,0.655,0.2204,0.007031
A2_freeze_on,H2: Frozen backbone retains transfer quality,ok,4.8,6.014,0.25057,0.5401,0.1367,0.004459
A2_freeze_off,H2: Frozen backbone retains transfer quality,FAIL:Can't call numpy() on Tensor that requires grad. Use tensor.detach().numpy() instead.,1.1,,,,,
A3_refine_on,H3: Cross-grounding refinement improves geometry,ok,4.8,5.985,0.25223,0.6018,0.1346,0.0044
A3_refine_off,H3: Cross-grounding refinement improves geometry,ok,4.4,11.782,0.06751,0.0068,0.5385,0.011875
A4_epochs_long,H4: More epochs improve volumetric supervision,ok,6.8,6.23,0.23843,0.5455,0.1493,0.004846
A4_epochs_short,H4: More epochs improve volumetric supervision,ok,3.8,6.205,0.23979,0.6186,0.1425,0.004651
A5_consist_on,H5: Multi-view consistency loss improves 3D features,ok,5.9,6.235,0.23817,0.5096,0.1499,0.004874
A5_consist_off,H5: Multi-view consistency loss improves 3D features,ok,4.8,6.06,0.24796,0.5691,0.1405,0.00457
A6_depth_on,H6: Depth-guided lifting improves geometry fidelity,ok,4.9,5.986,0.25221,0.7284,0.1339,0.004359
A6_depth_off,H6: Depth-guided lifting improves geometry fidelity,ok,4.9,6.265,0.23655,0.6049,0.1547,0.005055
